species,A1,A23,body depth,closing lever,gape,jaw length,protrusion distance,lower premaxilla,maxilla,maxillary process,opening lever,orbit,cranial width,tooth number,tooth length,upper premaxilla,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
Aphanius dispar,-0.0121128,-0.0317067,-0.1390956,0.0830608,-0.3258125,-0.1976817,-0.2508854,-0.1018236,-0.1137321,0.31184665,0.14529375,-0.0767813,0.29744464,-0.2827656,0.01909362,-0.083425,-0.017449154,0.092974575,-0.234827312,0.0157351,0.096837166,0.056765156,0.028350082,0.014912502
Aphanius iberus,0.01401209,-0.0201584,-0.0034206,0.09198353,-0.4240213,-0.1217069,-0.5710415,-0.1162415,-0.0942507,0.11889396,0.20276703,-0.0583008,0.10442485,-0.3810734,-0.4274346,-0.1424537,0.071801884,0.070248214,-0.231015848,0.124609149,0.128487382,0.048778904,0.121547291,0.117832057
Aphanius mento,0.02340931,-0.1330017,-0.2512755,0.34854444,-0.5848706,0.11337045,-0.4296858,0.15061667,0.08151417,0.17516565,-0.1825991,0.0056282,0.07789724,0.20378241,0.27156233,-0.0520167,-0.116475662,0.016702996,-0.04330916,0.218327358,0.006030942,0.108803501,-0.076736711,-0.159088507
Cualac tessellatus,-0.1047476,-0.0622009,-0.0860829,-0.3592773,-0.3674619,-0.1536675,-0.2369995,-0.4677193,-0.2639348,-0.2514763,-0.4899754,0.04177607,-0.0817365,0.29050627,-0.2761727,-0.1207521,0.387428347,0.13252786,0.255454216,0.014330823,-0.060748802,-0.035157834,0.044477651,0.063503179
Cyprinodon albivelis,0.02798847,0.05233315,0.10385841,0.07847281,0.10676669,0.10995734,0.0757751,0.20329719,0.15871595,0.03742575,0.15588157,-0.0537852,0.18654154,-0.079681,0.17450435,0.09077204,-0.358096663,0.093613295,0.024836729,-0.241379677,0.061443205,0.041938636,0.117831741,0.141854993
Cyprinodon alvarezi,0.00628198,0.01576924,0.01721441,0.06369799,0.24892568,0.04573827,-0.0489337,0.11370293,0.12324162,-0.0977689,0.2211268,-0.0836777,0.06386122,-0.0026375,-0.1158561,-0.0232873,-0.236162035,-0.017519174,0.013463202,-0.177154949,0.042399942,-0.084319194,0.071082052,0.163297053
Cyprinodon artifrons,0.02702148,0.06121726,0.10887262,-0.163952,-0.10072,-0.0724725,-0.0443798,-0.0808966,-0.1379473,-0.0701164,-0.1036053,0.0658262,-0.1570853,0.03871055,0.05936087,-0.0261281,-0.008078784,0.129459116,0.158129524,-0.09128817,-0.008179059,0.100517196,0.224873322,0.195458659
Cyprinodon atrorus,0.00235965,0.01087319,0.0306142,-0.1638293,-0.0392393,-0.0442168,0.14170828,0.03553484,-0.0135882,-0.0865413,0.02886228,-0.0434735,0.07857652,-0.0726675,0.01518795,-0.0010625,-0.107762235,0.087905249,0.064548022,-0.236885766,-0.019506079,0.055008554,0.055779842,0.144711841
Cyprinodon beltrani,-0.0830668,-0.0078486,-0.0304186,-0.2156553,-0.213006,-0.1777475,-0.0199762,-0.1986332,-0.2754654,-0.2574075,-0.191882,0.01898664,-0.193947,-0.0497808,-0.1027687,-0.1232821,0.2193097,0.116701314,0.135821147,-0.100851924,-0.072373849,0.006811843,0.090993874,0.083814827
Cyprinodon bifasciatus,0.00338178,0.02517095,-0.0242463,-0.1225276,-0.3093083,-0.0150975,0.00788962,-0.1675689,-0.1267028,-0.1482915,-0.0816526,0.08687082,0.03303227,0.03997953,0.18987733,0.0792103,-0.038229643,0.193710667,0.205865661,-0.035293228,-0.004403659,0.095312033,0.07891468,0.100466335
Cyprinodon bondi,-0.0378405,0.01001665,0.13412423,0.13500978,0.23115844,0.09577987,0.20636019,-0.1185876,0.10026221,-0.1436267,0.00685658,0.20733381,-0.0428198,0.17426573,0.05913265,0.09954129,-0.212337179,0.096107203,0.344262953,-0.181715189,0.200377518,0.017192542,0.124026962,0.032836914
Cyprinodon bovinus,0.04261484,0.01585036,0.21961251,0.0926692,-0.1296112,-0.0047102,0.17410709,0.04966915,0.0063093,0.02347698,-0.1769815,0.04444733,-0.0298929,-0.1144299,0.19061956,0.03020688,-0.156304788,0.183742072,0.098619912,-0.252185801,0.069596999,0.194787809,0.13716248,0.085090966
Cyprinodon sp. 'durophage' San Salvador Island,0.02130189,0.00334242,-0.0338192,0.18744424,0.00611794,-0.0563143,-0.090455,0.1586742,0.14818811,0.40408654,0.12108856,0.02695943,-0.1116609,-0.359497,0.18824365,-0.0707105,-0.212436928,-0.010390434,-0.184884511,-0.047421059,0.077090666,0.126669213,0.203799573,-0.021757351
Cyprinodon sp. 'scale-eater' San Salvador Island,0.15426088,0.11632602,-0.1134431,0.25247918,-0.1185625,0.47518589,0.29757758,0.32699589,0.39365851,-0.0296679,0.29323552,0.07177494,-0.156917,0.29812473,0.42607715,0.44790989,-0.739402819,-0.001034568,0.370551697,-0.030955403,-0.160033089,0.189066856,0.094277384,0.064977943
Cyprinodon dearborni,-0.0321522,-0.0063405,0.04819883,-0.3928029,0.01905751,-0.1671607,-0.0128137,-0.1520966,-0.0640466,-0.0310597,-0.127358,0.03467517,-0.0639557,-0.0547313,-0.079523,-0.0721352,0.107150511,0.069612515,0.086983189,-0.168834317,0.005195746,0.035155212,0.170775148,0.164532594
Cyprinodon diabolis,-0.0403304,0.05193842,-0.1411176,0.2047399,0.0648073,-0.02819,-0.2446161,-0.1417234,-0.106838,-0.2542883,-0.1635553,-0.0300365,0.16081783,0.04908307,-0.0090341,-0.03975,-0.073174516,0.192643427,0.064416437,0.022516792,0.011116596,-0.20175673,0.048283341,0.07297813
Cyprinodon elegans,-0.0054195,0.00738788,-0.133102,-0.1926424,-0.007157,-0.1575912,-0.5272873,-0.0692748,-0.1112437,-0.0671142,-0.3714972,-0.1365404,-0.0066312,-0.2483327,0.05533988,-0.1329966,0.135508227,0.141453321,-0.185054445,0.05550334,-0.124040925,-0.14042792,0.170291129,0.16778048
Cyprinodon esconditus,-0.0833171,-0.0075717,-0.0752222,0.15885991,-0.1171795,-0.0828764,0.24284793,-0.0127174,0.12434449,-0.1894973,-0.1584788,-0.0405373,0.03383771,-0.111454,0.24951161,0.08585221,-0.141845536,0.1799684,0.089875598,-0.24519704,-0.073623919,-0.021972292,-0.009567294,-0.096486147
Cyprinodon eximius,0.01550966,0.02344265,-0.007673,-0.0750086,0.08347328,-0.0182077,0.07569919,0.08178919,0.0198027,0.13542644,0.03546992,-0.0038338,0.04922029,-0.0421159,-0.0379491,-0.0793923,-0.1537702,0.017504784,0.011282621,-0.169179497,0.033018703,0.059854404,0.114019579,0.113256753
Cyprinodon fontinalis,0.05044763,0.01186182,-0.0117621,-0.0056245,0.12587807,0.21458067,0.17995623,0.20870605,0.14761937,0.17370893,0.32798589,-0.0227217,9.74E-05,0.10495961,0.09733185,0.14454635,-0.397280437,-0.107215023,0.123514911,-0.181193091,0.013689368,0.112886777,0.075484915,0.122077709
Cyprinodon labiosus,0.02821671,-0.0095569,-0.1830084,-0.0399996,-0.0568398,-0.089201,-0.0584573,0.05746307,-0.0372355,-0.0511014,-0.0037324,-0.0464936,-0.2128014,-0.1224742,0.13803566,-0.1117257,-0.049831797,-0.003699254,-0.043516543,-0.016164253,-0.134796862,0.016179062,0.05674862,0.078539476
Cyprinodon macrolepis,0.0555227,0.06007948,0.07765799,0.0515559,0.35407517,0.21660655,0.26138763,0.17396154,0.08708127,0.06807744,0.19054772,0.06606867,0.34108177,0.16319628,0.07512915,0.17748684,-0.468661536,0.060034059,0.206016687,-0.252037417,0.171583965,0.031064631,0.077151009,0.168294314
